Y0,Y1,Y2,Y3,label;;;SVM;Random Forest;Logistic Regression
98,0.023107733,1.756624354,3.079291149,0;;Accuracy;78.214%;82.857%;86.071%
155,0.022639309,1.133046353,4.520233749,0;;;;;
60,0.031794407,2.99168377,3.234909827,0;;;;;
146,0.026798838,1.213722261,4.371806739,0;;;;;
102,0.02020586,1.725303877,3.914630646,0;;;;;
109,0.019397325,1.505121777,3.582319055,0;;;;;
84,0.021675305,2.009023304,3.146961117,0;;;;;
36,0.01797934,5.078010366,1.644904956,0;;;;;
115,0.025626146,1.539156423,3.248300686,0;;;;;
94,0.028352149,1.884432741,3.218124741,0;;;;;
42,0.023494763,3.831918589,2.185245744,0;;;;;
155,0.023288128,1.130805725,4.033251116,0;;;;;
40,0.019770408,4.251808826,2.379210055,0;;;;;
51,0.019068516,3.45062449,1.392925472,0;;;;;
126,0.019223626,1.377166984,2.129714893,0;;;;;
26,0.022205651,6.067234467,1.059317342,0;;;;;
37,0.023365202,4.376281809,1.32460642,0;;;;;
44,0.021918677,4.014718135,2.298631521,0;;;;;
162,0.016851152,1.052794749,2.961147255,0;;;;;
92,0.021827862,1.936424958,2.827854639,0;;;;;
46,0.016487233,3.784311917,2.112877849,0;;;;;
33,0.0196633,3.682326389,1.995935305,0;;;;;
42,0.017177411,4.278964659,2.082966325,0;;;;;
52,0.016982383,3.470587346,2.101128114,0;;;;;
44,0.016487838,3.779947793,1.993355602,0;;;;;
46,0.019778172,3.733990426,1.302206598,0;;;;;
21,0.015617104,6.667190476,0.771871687,0;;;;;
25,0.017577324,6.423487339,1.100938519,0;;;;;
38,0.01826829,4.5971306,1.17945856,0;;;;;
46,0.021995465,3.784162257,1.187257866,0;;;;;
25,0.017981859,5.834923469,1.096770417,0;;;;;
25,0.020497052,7.15803288,0.709038066,0;;;;;
18,0.018568909,7.140360144,0.737404926,0;;;;;
51,0.016845849,2.513339683,1.338255187,0;;;;;
15,0.015635676,12.6392679,0.898805225,0;;;;;
23,0.029041704,7.396403834,1.304047522,0;;;;;
46,0.01833284,3.823758629,1.445592765,0;;;;;
42,0.018337653,3.167665505,1.298890207,0;;;;;
305,0.030451061,0.560531015,9.232522548,1;;;;;
366,0.025032279,0.46530314,8.206484289,1;;;;;
323,0.026656628,0.528269813,9.368822585,1;;;;;
268,0.025849748,0.64773353,7.383889892,1;;;;;
178,0.02583327,0.983762763,3.738322738,1;;;;;
108,0.029654195,1.494648102,2.676973339,1;;;;;
170,0.028799253,1.035226019,4.988910666,1;;;;;
126,0.023281683,1.402703492,3.855914054,1;;;;;
121,0.023776354,1.428588246,3.043341125,1;;;;;
238,0.023157168,0.726995895,5.7197404,1;;;;;
308,0.0392143,0.545485608,9.465035897,1;;;;;
259,0.026971169,0.66349514,8.016043081,1;;;;;
171,0.022849849,1.033855676,6.315805819,1;;;;;
133,0.023238027,1.250191369,4.103949851,1;;;;;
190,0.024205872,0.921524913,6.610610525,1;;;;;
144,0.0248419,1.19714587,4.492414253,1;;;;;
215,0.02624205,0.813075423,6.535722555,1;;;;;
117,0.02698529,1.505864024,3.669594097,1;;;;;
124,0.024543742,1.409791863,4.527337229,1;;;;;
208,0.023001047,0.84471009,5.914967906,1;;;;;
263,0.025284481,0.654749269,7.154624415,1;;;;;
218,0.026703593,0.799474278,5.939774044,1;;;;;
121,0.023809711,1.448783447,4.589147008,1;;;;;
114,0.026557266,1.553046174,5.13326929,1;;;;;
110,0.025133375,1.594126568,5.19945881,1;;;;;
231,0.033785179,0.742336291,6.773787563,1;;;;;
260,0.027465376,0.661722656,6.965745229,1;;;;;
284,0.02747413,0.602304352,9.228630357,1;;;;;
234,0.033381398,0.73000798,8.478897292,1;;;;;
131,0.031722144,1.350627943,5.527535097,1;;;;;
140,0.026620181,1.245280184,4.727662252,1;;;;;
272,0.024781079,0.630647221,8.837535551,1;;;;;
162,0.026865989,1.077788059,4.636166829,1;;;;;
158,0.021801142,1.104653292,4.26903889,1;;;;;
113,0.021796801,1.567005183,3.86113047,1;;;;;
143,0.020818864,1.230448564,3.141914087,1;;;;;
179,0.028313635,0.943368621,4.38211237,1;;;;;
195,0.022951102,0.891130514,6.016171268,1;;;;;
